Virus,Viral protein,Host protein
SARS-CoV-2,ORF8,P12109
SARS-CoV-2,ORF8,P26358
SARS-CoV-2,ORF8,Q9BZQ6
SARS-CoV-2,ORF8,Q8N766
SARS-CoV-2,ORF8,Q96DZ1
SARS-CoV-2,ORF8,Q86YB8
SARS-CoV-2,ORF8,Q9BS26
SARS-CoV-2,ORF8,Q9NXK8
SARS-CoV-2,ORF8,Q96AY3
SARS-CoV-2,ORF8,Q9Y680
SARS-CoV-2,ORF8,Q8IWF2
SARS-CoV-2,ORF8,Q99988
SARS-CoV-2,ORF8,Q92820
SARS-CoV-2,ORF8,Q96MM7
SARS-CoV-2,ORF8,Q9Y4L1
SARS-CoV-2,ORF8,Q96F46
SARS-CoV-2,ORF8,P58166
SARS-CoV-2,ORF8,P05556
SARS-CoV-2,ORF8,P28300
SARS-CoV-2,ORF8,Q08431
SARS-CoV-2,ORF8,Q99519
SARS-CoV-2,ORF8,Q96IV0
SARS-CoV-2,ORF8,P61916
SARS-CoV-2,ORF8,Q15818
SARS-CoV-2,ORF8,Q13438
SARS-CoV-2,ORF8,P29122
SARS-CoV-2,ORF8,P00750
SARS-CoV-2,ORF8,Q8IV08
SARS-CoV-2,ORF8,Q9H8W4
SARS-CoV-2,ORF8,O00469
SARS-CoV-2,ORF8,Q9H488
SARS-CoV-2,ORF8,Q6UW63
SARS-CoV-2,ORF8,Q7Z4H8
SARS-CoV-2,ORF8,Q8N0Z8
SARS-CoV-2,ORF8,P15151
SARS-CoV-2,ORF8,Q99470
SARS-CoV-2,ORF8,Q9H173
SARS-CoV-2,ORF8,Q9H4F8
SARS-CoV-2,ORF8,O76061
SARS-CoV-2,ORF8,Q9BRN9
SARS-CoV-2,ORF8,O14656
SARS-CoV-2,ORF8,Q9NYU1
SARS-CoV-2,ORF9B,Q9UL15
SARS-CoV-2,ORF9B,O43633
SARS-CoV-2,ORF9B,O75534
SARS-CoV-2,ORF9B,Q9H773
SARS-CoV-2,ORF9B,Q9H2P9
SARS-CoV-2,ORF9B,Q9P0L2
SARS-CoV-2,ORF9B,Q7KZI7
SARS-CoV-2,ORF9B,P27448
SARS-CoV-2,ORF9B,Q9UKA9
SARS-CoV-2,ORF9B,O14745
SARS-CoV-2,ORF9B,O94826
SARS-CoV-2,ORF9C,P33527
SARS-CoV-2,ORF9C,Q9H845
SARS-CoV-2,ORF9C,Q9BVK2
SARS-CoV-2,ORF9C,Q9Y276
SARS-CoV-2,ORF9C,Q2PZI1
SARS-CoV-2,ORF9C,Q9BQ95
SARS-CoV-2,ORF9C,Q7Z2K6
SARS-CoV-2,ORF9C,P55085
SARS-CoV-2,ORF9C,Q96K12
SARS-CoV-2,ORF9C,Q9H3K2
SARS-CoV-2,ORF9C,O43292
SARS-CoV-2,ORF9C,Q9NV92
SARS-CoV-2,ORF9C,Q9Y375
SARS-CoV-2,ORF9C,Q9Y6M9
SARS-CoV-2,ORF9C,Q86UT6
SARS-CoV-2,ORF9C,Q8TEQ8
SARS-CoV-2,ORF9C,Q96S52
SARS-CoV-2,ORF9C,Q86VR2
SARS-CoV-2,ORF9C,Q12770
SARS-CoV-2,ORF9C,Q6NXT4
SARS-CoV-2,ORF9C,Q6NXT6
SARS-CoV-2,ORF9C,Q9Y3A6
SARS-CoV-2,ORF9C,Q9GZU3
SARS-CoV-2,ORF9C,Q5BJF2
SARS-CoV-2,ORF9C,O00124
SARS-CoV-2,ORF9C,O76024
SARS-CoV-2,S,Q7Z5G4
SARS-CoV-2,S,Q9C0B5
