,hp,hg,vp,score,score1,mist,score2
187,O15226,NKRF,E,0.41898205876350403,0,0,0
188,P54727,RAD23B,E,0.09616395831108093,0.0,0.047519549,0
189,Q15633,TARBP2,E,0.21535137295722961,0,0,0
190,O60763,USO1,E,0.17154063284397125,0,0,0
191,Q93008,USP9X,E,0.003694553393870592,0,0,0
192,Q96HA8,NTAQ1,E,0.09940806776285172,0,0,0
193,Q9NXS3,KLHL28,E,0.026591533794999123,0,0,0
194,P56192,MARS1,E,0.28640052676200867,0.0,0.011556093,0
195,A8MW99,MEI4,E,0.013109422288835049,0,0,0
196,Q09666,AHNAK,E,0.3359981179237366,0,0,0
197,Q96B67,ARRDC3,E,0.005213253665715456,0,0,0
198,Q96P56,CATSPER2,E,0.0677594393491745,0,0,0
199,Q9NX63,CHCHD3,E,0.12137487530708313,0,0,0
200,Q96NS8,CLUHP3,E,0.03563324362039566,0,0,0
201,Q8N684,CPSF7,E,0.014873133040964603,0.06,0.232692525,0
202,Q96D03,DDIT4L,E,0.0037779517006129026,0,0,0
203,Q9BQ66,KRTAP4-12,E,0.18440616130828857,0,0,0
204,Q8TE12,LMX1A,E,0.535493016242981,0,0,0
205,Q9NR56,MBNL1,E,0.025815173983573914,0,0,0
206,A8MRT5,NPIPB5,E,0.0020193445961922407,0,0,0
207,Q9H361,PABPC3,E,0.22472691535949707,0,0,0
208,P23759,PAX7,E,0.1359710395336151,0,0,0
209,Q96AQ6,PBXIP1,E,0.06354528665542603,0,0,0
210,Q9NP87,POLM,E,0.3031347393989563,0,0,0
211,Q9BRQ0,PYGO2,E,0.0024952117819339037,0,0,0
212,Q9NTJ5,SACM1L,E,0.1683163046836853,0,0,0
213,P50453,SERPINB9,E,0.011918648146092892,0,0,0
214,Q9BXI2,SLC25A2,E,0.004263867624104023,0,0,0
215,P17023,ZNF19,E,0.001983077498152852,0,0,0
216,Q7Z3I7,ZNF572,E,0.0035751280374825,0,0,0
217,Q8WWN8,ARAP3,E,0.0006157854804769158,0,0,0
218,Q9Y2M5,KLHL20,E,0.010199177078902721,0,0,0
219,P49765,VEGFB,E,0.010663185268640518,0,0,0
220,Q9BXI9,C1QTNF6,E,0.03539489582180977,0,0,0
221,Q6IC83,C22ORF42,E,0.05714661255478859,0,0,0
222,Q2TAC2,CCDC57,E,0.03135034069418907,0,0,0
223,Q9BV73,CEP250,E,0.07567154616117477,0,0,0
224,P53675,CLTCL1,E,0.004641248844563961,0,0,0
225,Q9Y2V7,COG6,E,0.439424991607666,0,0,0
226,Q08379,GOLGA2,E,0.25531500577926636,0,0,0
227,A6NEM1,GOLGA6L9,E,0.06372042745351791,0,0,0
228,Q9Y6K9,IKBKG,E,0.8257413506507874,0,0,0
229,O60229,KALRN,E,0.17470544576644897,0,0,0
230,P52954,LBX1,E,0.018331797793507576,0,0,0
231,Q9Y6D9,MAD1L1,E,0.2449101060628891,0,0,0
232,Q5JR59,MTUS2,E,0.24749542772769928,0,0,0
233,A8MTQ0,NOTO,E,0.011954511515796185,0,0,0
234,Q04864,REL,E,0.4420497715473175,0,0,0
235,Q92546,RGP1,E,0.02064588852226734,0,0,0
236,P0DJD0,RGPD1,E,0.07068681716918945,0,0,0
237,Q15427,SF3B4,E,0.14208434522151947,0.0,0.041134327000000005,0
238,Q96R06,SPAG5,E,0.007652541622519493,0,0,0
239,Q8N0X7,SPART,E,0.04425348341464996,0,0,0
240,Q96N21,TEPSIN,E,0.0036075019743293524,0,0,0
241,Q13077,TRAF1,E,0.7675715684890747,0,0,0
242,Q12933,TRAF2,E,0.8111081719398499,0,0,0
243,Q92844,TANK,E,0.49154967069625854,0,0,0
244,P14373,TRIM27,E,0.55913245677948,0,0,0
245,Q86XT4,TRIM50,E,0.0017735359724611044,0,0,0
246,Q8N7C3,TRIML2,E,0.16985207796096802,0,0,0
247,Q6PF05,TTC23L,E,0.3459046483039856,0,0,0
248,Q8WXI4,ACOT11,E,0.01480708085000515,0,0,0
249,Q99996,AKAP9,E,0.06417227536439896,0,0,0
250,Q4VCS5,AMOT,E,0.10709020495414734,0,0,0
251,Q8N2N9,ANKRD36B,E,0.014502495527267456,0,0,0
252,Q8WXK4,ASB12,E,0.007787150796502829,0,0,0
253,Q8WWH4,ASZ1,E,0.022111397236585617,0,0,0
254,Q9H257,CARD9,E,0.4598061740398407,0.0,0.017018008,0
255,O95273,CCNDBP1,E,0.16132614016532898,0,0,0
256,Q96JB2,COG3,E,0.01381735410541296,0,0,0
257,Q86T65,DAAM2,E,0.00020635478722397238,0,0,0
258,Q14562,DHX8,E,0.07148262858390808,0,0,0
259,Q8TAG9,EXOC6,E,0.0019276428502053022,0,0,0
260,P00488,F13A1,E,0.04555991291999817,0,0,0
261,Q04446,GBE1,E,0.007924869656562805,0,0,0
262,Q8IX15,HOMEZ,E,0.005206840578466654,0,0,0
263,Q9UKT9,IKZF3,E,0.47890505194664,0,0,0
264,P13646,KRT13,E,0.007314315065741539,0,0,0
265,Q7Z3Y8,KRT27,E,0.032367825508117676,0,0,0
266,Q15323,KRT31,E,0.12271849066019058,0,0,0
267,Q14532,KRT32,E,0.005012039095163345,0,0,0
268,Q6A163,KRT39,E,0.006477406248450279,0,0,0
269,Q6KB66,KRT80,E,0.02454933151602745,0,0,0
270,P28838,LAP3,E,0.1365727335214615,0,0,0
271,Q6UWW0,LCN15,E,0.05256239324808121,0,0,0
272,P17568,NDUFB7,E,0.017817728221416473,0,0,0
273,Q9HBI0,PARVG,E,0.02191428653895855,0.0,0.009989781,0
274,Q8ND90,PNMA1,E,0.5622825026512146,0,0,0
275,Q07869,PPARA,E,0.0003533732087817043,0,0,0
276,Q86W92,PPFIBP1,E,0.2049272060394287,0,0,0
277,Q6IN85,PPP4R3A,E,0.0712750032544136,0,0,0
278,P23942,PRPH2,E,0.10591220110654831,0,0,0
279,P41219,PRPH,E,0.08263341337442398,0,0,0
280,P11217,PYGM,E,0.13897188007831573,0,0,0
281,Q8TBN0,RAB3IL1,E,0.01340478751808405,0,0,0
282,A6NK89,RASSF10,E,0.17701882123947144,0,0,0
283,Q6NUQ1,RINT1,E,0.7351934909820557,0,0,0
284,Q9UHV2,SERTAD1,E,0.7333630323410034,0,0,0
285,Q86VW0,SESTD1,E,0.10142353922128677,0,0,0
286,Q96H20,SNF8,E,0.4617115557193756,0,0,0
287,Q9Y2D8,SSX2IP,E,0.4072095453739166,0,0,0
288,Q8N0S2,SYCE1,E,0.5915267467498779,0,0,0
289,Q8WW24,TEKT4,E,0.05150308459997177,0,0,0
290,Q9H5L6,THAP9,E,0.03538089618086815,0,0,0
291,Q9C040,TRIM2,E,0.1646154820919037,0,0,0
292,O75382,TRIM3,E,0.059855490922927856,0,0,0
293,Q13049,TRIM32,E,0.04952496662735939,0,0,0
294,Q9BYV2,TRIM54,E,0.03822501003742218,0,0,0
295,Q5W5X9,TTC23,E,0.09405230730772018,0,0,0
296,Q9UHP3,USP25,E,0.07611004263162613,0,0,0
297,P61758,VBP1,E,0.07282383739948273,0.0,0.066163611,0
298,P08670,VIM,E,0.27243366837501526,0.0,0.19115522699999998,0
299,Q8N1B4,VPS52,E,0.41597113013267517,0,0,0
300,Q9UGI0,ZRANB1,E,0.03293297439813614,0,0,0
301,Q8IYX8,CEP57L1,E,0.20172397792339325,0,0,0
302,P51114,FXR1,E,0.04203159734606743,0,0,0
303,P51116,FXR2,E,0.00788821093738079,0,0,0
304,P60880,SNAP25,E,0.1813950389623642,0,0,0
305,P26842,CD27,E,0.03275047615170479,0,0,0
306,P25942,CD40,E,0.03406500443816185,0,0,0
307,Q6UWB1,IL27RA,E,0.005927356891334057,0,0,0
308,Q16553,LY6E,E,0.014471613802015781,0,0,0
309,Q6UWN5,LYPD5,E,0.001366700162179768,0,0,0
310,Q86Y26,NUTM1,E,0.025884322822093964,0,0,0
311,P23497,SP100,E,0.7537017464637756,0,0,0
312,Q9NQB0,TCF7L2,E,0.12266821414232254,0,0,0
313,P15884,TCF4,E,0.008577408269047737,0,0,0
314,Q9UHD9,UBQLN2,E,0.18069544434547424,0,0,0
315,Q9GZY8,MFF,E,0.015123702585697174,0,0,0
316,O95870,ABHD16A,E,0.01732281595468521,0,0,0
317,Q15041,ARL6IP1,E,0.15184973180294037,0,0,0
318,Q96HR9,REEP6,E,0.09477142989635468,0,0,0
319,Q9UMX0,UBQLN1,E,0.8412244915962219,0,0,0
320,Q9NYU1,UGGT2,E,0.032427772879600525,0,0,0
321,Q8NEA5,C19ORF18,E,0.10597358644008636,0,0,0
322,O15552,FFAR2,E,0.1076190322637558,0,0,0
323,Q9Y680,FKBP7,E,0.0464719720184803,0,0,0
324,Q8TDQ0,HAVCR2,E,0.31997689604759216,0,0,0
325,P58170,OR1D5,E,0.0019260939443483949,0,0,0
326,Q9Y5F3,PCDHB1,E,0.07568443566560745,0,0,0
327,Q04118,PRB3,E,0.0057576908729970455,0,0,0
328,Q86UW2,SLC51B,E,0.13119257986545563,0,0,0
329,P21731,TBXA2R,E,0.016001516953110695,0,0,0
330,Q9NUH8,TMEM14B,E,0.005598997697234154,0,0,0
331,Q9NWC5,TMEM45A,E,0.005909351631999016,0,0,0
332,P19075,TSPAN8,E,0.008054433390498161,0,0,0
333,Q14973,SLC10A1,E,0.0033839165698736906,0,0,0
334,P49755,TMED10,E,0.23681782186031342,0,0,0
335,O00203,AP3B1,E,0.21132797002792358,0.99,0.963550095,0
336,O15270,SPTLC2,E,0.010464548133313656,0,0,0
337,O43505,B4GAT1,E,0.03380070626735687,0,0,0
338,O60885,BRD4,E,0.015108566731214523,0.97,0.97848835,0
339,O75787,ATP6AP2,E,0.18933789432048798,0,0,0
340,P01861,IGHG4,E,0.48637789487838745,0,0,0
341,P25440,BRD2,E,0.46478310227394104,1.0,0.9065928759999999,0
342,Q5T9L3,WLS,E,0.015233134850859642,0,0,0
343,Q6DD88,ATL3,E,0.06544197350740433,0,0,0
344,Q6UX04,CWC27,E,0.005556050222367048,0.66,0.89310916,0
345,Q86VM9,ZC3H18,E,0.05976545810699463,0.97,0.7964150390000001,0
346,Q8IWA5,SLC44A2,E,0.000712658918928355,0.98,0.9503428340000001,0
347,Q8IZ52,CHPF,E,0.07713049650192261,0,0,0
348,Q8WVM8,SCFD1,E,0.15821070969104767,0,0,0
349,Q8WY22,BRI3BP,E,0.010858006775379181,0,0,0
350,Q92665,MRPS31,E,0.10363136231899261,0,0,0
351,Q9BTV4,TMEM43,E,0.11369673907756805,0,0,0
352,Q9NPI6,DCP1A,E,0.01880034990608692,0,0,0
353,Q9UBS3,DNAJB9,E,0.06977955996990204,0,0,0
354,Q9ULP9,TBC1D24,E,0.00612591253593564,0,0,0
355,Q9Y5L0,TNPO3,E,0.20121058821678162,0,0,0
356,O15321,TM9SF1,E,0.059942055493593216,0,0,0
357,O15397,IPO8,E,0.014221168123185635,0,0,0
358,O15431,SLC31A1,E,0.0053756823763251305,0,0,0
359,O43156,TTI1,E,0.029794955626130104,0,0,0
360,O60779,SLC19A2,E,0.00248211482539773,0,0,0
361,O75027,ABCB7,E,0.0036206941585987806,0,0,0
362,O75439,PMPCB,E,0.06331485509872437,0,0,0
363,O94822,LTN1,E,0.037408728152513504,0,0,0
364,O94829,IPO13,E,0.0024919132702052593,0,0,0
365,O95070,YIF1A,E,0.02929326891899109,0,0,0
366,O95674,CDS2,E,0.00602756580337882,0,0,0
367,O75420,GIGYF1,E,0.16161644458770752,0,0,0
368,O95864,FADS2,E,0.005965540651232004,0,0,0
369,P05026,ATP1B1,E,0.6021121144294739,0,0,0
370,P07384,CAPN1,E,0.14096876978874207,0,0,0
371,P11310,ACADM,E,0.10377775877714157,0,0,0
372,P13804,ETFA,E,0.06393715739250183,0,0,0
373,P20020,ATP2B1,E,0.06903618574142456,0,0,0
374,P23634,ATP2B4,E,0.029170775786042213,0,0,0
375,P24390,KDELR1,E,0.02798161469399929,0,0,0
376,P27105,STOM,E,0.35479074716567993,0,0,0
377,P33527,ABCC1,E,0.0013631604379042983,0,0,0
378,P35670,ATP7B,E,0.03950117900967598,0,0,0
379,P38435,GGCX,E,0.37629765272140503,0,0,0
380,P38606,ATP6V1A,E,0.4983215928077698,0,0,0
381,P40763,STAT3,E,0.3293145000934601,0,0,0
382,P43003,SLC1A3,E,0.014286438003182411,0,0,0
383,P48556,PSMD8,E,0.24478769302368164,0,0,0
384,P49768,PSEN1,E,0.026568787172436714,0,0,0
385,P56589,PEX3,E,0.21312032639980316,0,0,0
386,P61803,DAD1,E,0.017832288518548012,0,0,0
387,P98194,ATP2C1,E,0.34761086106300354,0,0,0
388,Q00765,REEP5,E,0.08544928580522537,0,0,0
389,Q10713,PMPCA,E,0.03587910532951355,0,0,0
390,Q13409,DYNC1I2,E,0.24430963397026062,0,0,0
391,Q13433,SLC39A6,E,0.01192072220146656,0,0,0
392,Q13505,MTX1,E,0.001493291463702917,0,0,0
393,Q14CZ7,FASTKD3,E,0.015366452746093273,0,0,0
394,Q15386,UBE3C,E,0.07319531589746475,0,0,0
395,Q4KMQ2,ANO6,E,0.0006249746074900031,0,0,0
396,Q53R41,FASTKD1,E,0.010009368881583214,0,0,0
397,Q5BJH7,YIF1B,E,0.1023036539554596,0,0,0
398,Q5H8A4,PIGG,E,0.0017853114986792207,0,0,0
399,Q5JRX3,PITRM1,E,0.01987246610224247,0,0,0
400,Q5T1Q4,SLC35F1,E,0.009142031893134117,0,0,0
401,Q68DH5,LMBRD2,E,0.0012942305766046047,0,0,0
402,Q6AI08,HEATR6,E,0.009658915922045708,0,0,0
403,Q6P3X3,TTC27,E,0.428657591342926,0,0,0
404,Q6PJG6,BRAT1,E,0.00908617116510868,0,0,0
405,Q6PML9,SLC30A9,E,0.05141720920801163,0,0,0
406,Q7L8L6,FASTKD5,E,0.007500756531953812,0,0,0
407,Q7RTS9,DYM,E,0.012552708387374878,0,0,0
408,Q7Z3U7,MON2,E,0.0016107981791719794,0,0,0
409,Q86UL3,GPAT4,E,0.01329796016216278,0,0,0
410,Q8N1F8,STK11IP,E,0.004021588247269392,0,0,0
411,Q8N5G2,MACO1,E,0.14126141369342804,0,0,0
412,Q8NDZ4,DIPK2A,E,0.008864963427186012,0,0,0
413,Q8NEW0,SLC30A7,E,0.015640616416931152,0,0,0
414,Q8TBF5,PIGX,E,0.09715966135263443,0,0,0
415,Q8TCJ2,STT3B,E,0.33040928840637207,0,0,0
416,Q8TEM1,NUP210,E,0.0440320186316967,0,0,0
417,Q8WUD6,CHPT1,E,0.5753411650657654,0,0,0
418,Q92604,LPGAT1,E,0.00658001471310854,0,0,0
419,Q92616,GCN1,E,0.3553256392478943,0,0,0
420,Q969V3,NCLN,E,0.10641396790742874,0,0,0
421,Q9NWF4,SLC52A1,E,0.0014854853507131338,0,0,0
422,Q96AA3,RFT1,E,0.00043112653656862676,0,0,0
423,Q96CW5,TUBGCP3,E,0.16696453094482422,0,0,0
424,Q96D53,COQ8B,E,0.03162253648042679,0,0,0
425,Q96EC8,YIPF6,E,0.05450226739048958,0,0,0
426,Q96ER3,SAAL1,E,0.20068225264549255,0,0,0
427,Q96HW7,INTS4,E,0.07908555865287781,0,0,0
428,Q99805,TM9SF2,E,0.007175488863140345,0,0,0
429,Q9BQ95,ECSIT,E,0.004467198625206947,0,0,0
430,Q9BQT8,SLC25A21,E,0.1237609013915062,0,0,0
431,Q9BSJ2,TUBGCP2,E,0.14725126326084137,0,0,0
432,Q9BTY2,FUCA2,E,0.09610293805599213,0,0,0
433,Q9BV40,VAMP8,E,0.25993484258651733,0,0,0
434,Q9BW92,TARS2,E,0.008349514566361904,0,0,0
435,Q9BYC5,FUT8,E,0.060537733137607574,0,0,0
436,Q9C0D9,SELENOI,E,0.009479367174208164,0,0,0
437,Q9C0E2,XPO4,E,0.030277952551841736,0,0,0
438,Q9GZM5,YIPF3,E,0.027986733242869377,0,0,0
439,Q9H0V9,LMAN2L,E,0.010117275640368462,0,0,0
440,Q9H2J7,SLC6A15,E,0.0028234408237040043,0,0,0
441,Q9H583,HEATR1,E,0.08760341256856918,0,0,0
442,Q9H7F0,ATP13A3,E,0.07252652198076248,0,0,0
